district,office,party,candidate,votes,precinct
1,President,CON ,Darrell Castle,5,01-446
1,President,DEM ,Hillary Clinton,295,01-446
1,President,NA ,Roque De La Fuente,7,01-446
1,President,LIB ,Gary Johnson,75,01-446
1,President,GRE ,Jill Stein,23,01-446
1,President,REP ,Donald Trump,434,01-446
1,President,,Write-ins,29,01-446
1,U.S. Senate,NA ,Breck Craig,5,01-446
1,U.S. Senate,NA ,Ted Gianoutsos,8,01-446
1,U.S. Senate,DEM ,Ray Metcalfe,70,01-446
1,U.S. Senate,LIB ,Joe Miller,261,01-446
1,U.S. Senate,REP ,Lisa Murkowski,409,01-446
1,U.S. Senate,NA ,Margaret Stock,105,01-446
1,U.S. Senate,,Write-ins,4,01-446
1,U.S. House,DEM ,Steve Lindbeck,334,01-446
1,U.S. House,LIB ,Jim McDermott,109,01-446
1,U.S. House,NA ,Bernie Souphanavong,20,01-446
1,U.S. House,REP ,Don Young,389,01-446
1,U.S. House,,Write-ins,4,01-446
1,State House,DEM ,Scott Kawasaki,633,01-446
1,State House,,Write-ins,74,01-446
1,President,CON ,Darrell Castle,2,01-455
1,President,DEM ,Hillary Clinton,65,01-455
1,President,NA ,Roque De La Fuente,1,01-455
1,President,LIB ,Gary Johnson,8,01-455
1,President,GRE ,Jill Stein,2,01-455
1,President,REP ,Donald Trump,113,01-455
1,President,,Write-ins,8,01-455
1,U.S. Senate,NA ,Breck Craig,1,01-455
1,U.S. Senate,NA ,Ted Gianoutsos,1,01-455
1,U.S. Senate,DEM ,Ray Metcalfe,20,01-455
1,U.S. Senate,LIB ,Joe Miller,74,01-455
1,U.S. Senate,REP ,Lisa Murkowski,85,01-455
1,U.S. Senate,NA ,Margaret Stock,17,01-455
1,U.S. Senate,,Write-ins,1,01-455
1,U.S. House,DEM ,Steve Lindbeck,62,01-455
1,U.S. House,LIB ,Jim McDermott,23,01-455
1,U.S. House,NA ,Bernie Souphanavong,4,01-455
1,U.S. House,REP ,Don Young,106,01-455
1,U.S. House,,Write-ins,0,01-455
1,State House,DEM ,Scott Kawasaki,142,01-455
1,State House,,Write-ins,17,01-455
1,President,CON ,Darrell Castle,8,01-465
1,President,DEM ,Hillary Clinton,120,01-465
1,President,NA ,Roque De La Fuente,1,01-465
1,President,LIB ,Gary Johnson,21,01-465
1,President,GRE ,Jill Stein,11,01-465
1,President,REP ,Donald Trump,157,01-465
1,President,,Write-ins,8,01-465
1,U.S. Senate,NA ,Breck Craig,1,01-465
1,U.S. Senate,NA ,Ted Gianoutsos,3,01-465
1,U.S. Senate,DEM ,Ray Metcalfe,45,01-465
1,U.S. Senate,LIB ,Joe Miller,108,01-465
1,U.S. Senate,REP ,Lisa Murkowski,129,01-465
1,U.S. Senate,NA ,Margaret Stock,32,01-465
1,U.S. Senate,,Write-ins,2,01-465
1,U.S. House,DEM ,Steve Lindbeck,120,01-465
1,U.S. House,LIB ,Jim McDermott,51,01-465
1,U.S. House,NA ,Bernie Souphanavong,7,01-465
1,U.S. House,REP ,Don Young,142,01-465
1,U.S. House,,Write-ins,0,01-465
1,State House,DEM ,Scott Kawasaki,233,01-465
1,State House,,Write-ins,25,01-465
1,President,CON ,Darrell Castle,6,01-470
1,President,DEM ,Hillary Clinton,205,01-470
1,President,NA ,Roque De La Fuente,2,01-470
1,President,LIB ,Gary Johnson,35,01-470
1,President,GRE ,Jill Stein,12,01-470
1,President,REP ,Donald Trump,218,01-470
1,President,,Write-ins,18,01-470
1,U.S. Senate,NA ,Breck Craig,3,01-470
1,U.S. Senate,NA ,Ted Gianoutsos,1,01-470
1,U.S. Senate,DEM ,Ray Metcalfe,56,01-470
1,U.S. Senate,LIB ,Joe Miller,136,01-470
1,U.S. Senate,REP ,Lisa Murkowski,225,01-470
1,U.S. Senate,NA ,Margaret Stock,74,01-470
1,U.S. Senate,,Write-ins,1,01-470
1,U.S. House,DEM ,Steve Lindbeck,191,01-470
1,U.S. House,LIB ,Jim McDermott,48,01-470
1,U.S. House,NA ,Bernie Souphanavong,13,01-470
1,U.S. House,REP ,Don Young,236,01-470
1,U.S. House,,Write-ins,1,01-470
1,State House,DEM ,Scott Kawasaki,356,01-470
1,State House,,Write-ins,55,01-470
1,President,CON ,Darrell Castle,4,01-475
1,President,DEM ,Hillary Clinton,86,01-475
1,President,NA ,Roque De La Fuente,2,01-475
1,President,LIB ,Gary Johnson,16,01-475
1,President,GRE ,Jill Stein,6,01-475
1,President,REP ,Donald Trump,149,01-475
1,President,,Write-ins,14,01-475
1,U.S. Senate,NA ,Breck Craig,4,01-475
1,U.S. Senate,NA ,Ted Gianoutsos,1,01-475
1,U.S. Senate,DEM ,Ray Metcalfe,28,01-475
1,U.S. Senate,LIB ,Joe Miller,70,01-475
1,U.S. Senate,REP ,Lisa Murkowski,137,01-475
1,U.S. Senate,NA ,Margaret Stock,35,01-475
1,U.S. Senate,,Write-ins,0,01-475
1,U.S. House,DEM ,Steve Lindbeck,104,01-475
1,U.S. House,LIB ,Jim McDermott,27,01-475
1,U.S. House,NA ,Bernie Souphanavong,10,01-475
1,U.S. House,REP ,Don Young,133,01-475
